label,cadi,arxiv,paper,lumi,category,process,com,finalstate,xs,tot_down,tot_up,stat_down,stat_up,syst_down,syst_up,xs_theory,theory_down,theory_up
tt,TOP-13-004,1603.02303,JHEP 08 (2016) 029,5,TOP,$\mathrm{t\bar{t}}$,7,,1.736e+08,6.23298e+06,6.253e+06,2.1e+06,2.1e+06,5.86856e+06,5.88982e+06,1.773e+08,1.08167e+07,1.01533e+07
tt8,TOP-13-004,1603.02303,JHEP 08 (2016) 029,19.7,TOP,$\mathrm{t\bar{t}}$,8,,2.449e+08,8.55395e+06,9.089e+06,1.4e+06,1.4e+06,8.4386e+06,8.98053e+06,2.529e+08,1.45207e+07,1.3336e+07
tt13,TOP-20-001,2108.02803,PRD 104 (2021) 092013,137,TOP,$\mathrm{t\bar{t}}$,13,,7.91e+08,2.52183e+07,2.52457e+07,560000,560000,2.52121e+07,2.52395e+07,8.32e+08,4.6e+07,4e+07
tt136,TOP-22-012,2303.10680,JHEP 08 (2023) 204,1.21,TOP,$\mathrm{t\bar{t}}$,13.6,,8.82e+08,3.04795e+07,3.04795e+07,2.3e+07,2.3e+07,2e+07,2e+07,9.21e+08,3.7e+07,2.9e+07
tt0jet13,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} = \!$0j,13,,9.4e+07,7.28011e+06,7.28011e+06,2e+06,2e+06,7e+06,7e+06,1e+08,9e+06,9e+06
tt1jet13,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$1j,13,,7.4e+07,1.0198e+07,1.0198e+07,2e+06,2e+06,1e+07,1e+07,7.296e+07,8.63e+06,8.63e+06
tt2jet13,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$2j,13,,3.51e+07,5.78705e+06,5.78705e+06,1e+06,1e+06,5.7e+06,5.7e+06,3.693e+07,4.9e+06,4.9e+06
tt3jet13,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}}\:$3j,13,,1.23e+07,3.15753e+06,3.15753e+06,600000,600000,3.1e+06,3.1e+06,1.517e+07,2.49e+06,2.49e+06
tt4jet13,TOP-16-008,1610.04191,PRD 95 092001 (2017),2.3,TOP,$\mathrm{t\bar{t}} \! \geq \! $4j,13,,5.8e+06,2.00998e+06,2.00998e+06,200000,200000,2e+06,2e+06,8.06e+06,1.97e+06,1.97e+06
tt2cjet13,TOP-20-003,2012.09225,PLB 820 (2021) 136565,41.5,TOP,$\mathrm{t\bar{t}}\:$2c,13,,8e+06,1.70294e+06,1.70294e+06,1.1e+06,1.1e+06,1.3e+06,1.3e+06,8.9e+06,1.5e+06,1.5e+06
